date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:20	20938/20938	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Sep%202018%2000:11:49%20GMT	https://preview.colorlib.com/theme/hospice/index.html	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/index.html	(from )
14:06:20	14/14	U-----	200	untouched ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
14:06:21	505/505	---M--	200	added ('OK')	image/png	etag:%221f9-574d849b65f80%22	https://preview.colorlib.com/theme/hospice/img/favicon.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/img/favicon.png	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:21	37628/37628	---M-Z	200	added ('OK')	text/css	etag:%2292fc-5c1f9ca454a2d-gzip%22	https://preview.colorlib.com/theme/hospice/css/bootstrap.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/css/bootstrap.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:22	8344/8344	---M-Z	200	added ('OK')	text/css	etag:%222098-574d856a587c0-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/style.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:22	1468/1468	---M-Z	200	added ('OK')	text/css	etag:%225bc-5c1f9ca454a2d-gzip%22	https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:22	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-574d857105780-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/owl-carousel/owl.carousel.min.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/owl-carousel/owl.carousel.min.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:23	4752/4752	---M-Z	200	added ('OK')	text/css	etag:%221290-574d85649fa40-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/lightbox/simpleLightbox.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/lightbox/simpleLightbox.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:23	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-574d85ecffc00-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/nice-select/css/nice-select.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/nice-select/css/nice-select.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:23	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-574d8540624c0-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/animate-css/animate.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/animate-css/animate.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:24	35973/35973	---M-Z	200	added ('OK')	text/css	etag:%228c85-574d855cfe840-gzip%22	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:24	67531/67531	---M-Z	200	added ('OK')	text/css	etag:%22107cb-5c1f9ca4559cd-gzip%22	https://preview.colorlib.com/theme/hospice/css/style.css	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/css/style.css	(from https://preview.colorlib.com/theme/hospice/index.html)
